"Cell","Infection_status","Mouse","Ear","Cd11c_fluorescence_intensity","Ly6c_fluorescence_intensity","KikumeGreen_fluorescence_intensity","KikumeRed_fluorescence_intensity"
"1_A4","High-proliferating","Mouse_2","L",1032,1197,2697,1080
"1_A9","High-proliferating","Mouse_2","R",10747,3483,1292,461
"1_B10","High-proliferating","Mouse_3","R",1953,15856,424,185
"1_B4","High-proliferating","Mouse_2","L",849,14995,893,312
"1_B6","High-proliferating","Mouse_4","R",424,5688,406,97.7
"1_B7","High-proliferating","Mouse_5","L",12582,1705,858,333
"1_B9","High-proliferating","Mouse_2","R",9620,486,3101,573
"1_C11","High-proliferating","Mouse_4","L",2447,6911,1585,343
"1_C4","High-proliferating","Mouse_2","R",8581,3455,1609,689
"1_D7","High-proliferating","Mouse_1","L",2471,986,20424,9996
"1_E11","High-proliferating","Mouse_4","L",3831,5359,784,347
"1_E7","High-proliferating","Mouse_1","L",738,-2.57,1767,152
"1_F12","High-proliferating","Mouse_1","R",3656,480,1991,461
"1_F4","High-proliferating","Mouse_3","R",173,8755,1143,624
"1_F5","High-proliferating","Mouse_4","L",7748,8189,655,308
"1_F7","High-proliferating","Mouse_1","L",5235,321,1532,290
"1_G11","High-proliferating","Mouse_4","R",990,21360,1161,244
"1_G12","High-proliferating","Mouse_1","R",3305,29.5,26072,7080
"1_G4","High-proliferating","Mouse_3","R",1754,187,1693,344
"1_G7","High-proliferating","Mouse_1","R",2888,37.2,4761,1464
"1_G8","High-proliferating","Mouse_2","L",7049,2438,2734,784
"1_H11","High-proliferating","Mouse_4","R",2843,11534,1165,174
"1_H12","High-proliferating","Mouse_1","R",2554,1895,2466,367
"1_H3","High-proliferating","Mouse_2","L",1552,396,864,453
"1_H7","High-proliferating","Mouse_1","R",1188,540,5862,1767
"2_A4","High-proliferating","Mouse_2","L",4547,7317,1456,562
"2_A6","High-proliferating","Mouse_5","L",1473,1751,1297,461
"2_A7","High-proliferating","Mouse_1","R",5427,335,32099,12815
"2_A8","High-proliferating","Mouse_1","R",4997,3950,3918,1125
"2_A9","High-proliferating","Mouse_2","R",1263,15171,2160,298
"2_B10","High-proliferating","Mouse_3","L",6573,139,1957,521
"2_B2","High-proliferating","Mouse_4","L",6028,65556,796,426
"2_B9","High-proliferating","Mouse_2","R",1174,120,1853,301
"2_C1","High-proliferating","Mouse_1","L",3739,156,1649,417
"2_C2","High-proliferating","Mouse_4","R",3077,22662,1138,205
"2_D11","High-proliferating","Mouse_4","R",1509,1674,5347,348
"2_E11","High-proliferating","Mouse_4","R",1397,1368,1661,285
"2_E5","High-proliferating","Mouse_4","L",5029,309,1106,199
"2_E6","High-proliferating","Mouse_1","R",784,14788,1086,204
"2_E7","High-proliferating","Mouse_1","L",2206,812,2728,562
"2_F1","High-proliferating","Mouse_2","L",5018,10483,1082,559
"2_F2","High-proliferating","Mouse_5","L",6446,9862,1791,888
"2_G12","High-proliferating","Mouse_1","R",5964,875,5313,1095
"2_H12","High-proliferating","Mouse_1","R",2119,162,2270,468
"2_H4","High-proliferating","Mouse_3","R",7714,434,3462,2048
"2_H6","High-proliferating","Mouse_1","R",3319,571,7142,2405
"3_A10","High-proliferating","Mouse_3","R",1696,5964,3034,1979
"3_A11","High-proliferating","Mouse_4","L",2480,399,864,259
"3_A7","High-proliferating","Mouse_1","R",7800,186,5509,851
"3_B1","High-proliferating","Mouse_2","R",5257,3393,1193,468
"3_B6","High-proliferating","Mouse_4","R",6067,1902,1526,186
"3_B8","High-proliferating","Mouse_1","R",1082,53.9,1591,232
"3_C10","High-proliferating","Mouse_3","R",2377,1049,1237,441
"3_C8","High-proliferating","Mouse_1","R",1451,64.2,15709,5533
"3_D10","High-proliferating","Mouse_3","R",3259,185,2788,1159
"3_D11","High-proliferating","Mouse_4","R",3022,8814,1046,261
"3_D3","High-proliferating","Mouse_2","R",6502,414,6404,974
"3_E1","High-proliferating","Mouse_4","L",11299,198,1063,236
"3_E10","High-proliferating","Mouse_3","R",5750,1748,1407,767
"3_E12","High-proliferating","Mouse_5","L",5862,369,6002,2424
"3_E3","High-proliferating","Mouse_2","R",2480,185,4272,1000
"3_F3","High-proliferating","Mouse_2","R",1143,10895,1867,681
"3_F7","High-proliferating","Mouse_1","L",4518,1332,2593,471
"3_F8","High-proliferating","Mouse_1","R",3058,6404,3182,705
"3_G12","High-proliferating","Mouse_1","R",1034,1624,3855,803
"3_G2","High-proliferating","Mouse_1","L",14857,1655,1078,182
"3_G7","High-proliferating","Mouse_1","L",9817,747,6308,1170
"3_G9","High-proliferating","Mouse_3","R",18372,289,4692,1853
"3_H10","High-proliferating","Mouse_4","L",4811,671,750,255
"3_H6","High-proliferating","Mouse_1","R",6186,1822,5989,1597
"1_A5","Low-proliferating","Mouse_3","R",10920,2037,331,784
"1_A7","Low-proliferating","Mouse_5","L",1161,2262,826,2810
"1_B11","Low-proliferating","Mouse_4","L",2777,793,1237,3886
"1_B2","Low-proliferating","Mouse_4","L",5664,23989,952,3393
"1_B3","Low-proliferating","Mouse_1","L",3547,277,409,1639
"1_B5","Low-proliferating","Mouse_3","R",1664,9884,209,819
"1_C10","Low-proliferating","Mouse_3","R",2310,89.9,297,978
"1_C12","Low-proliferating","Mouse_5","L",2314,1032,250,441
"1_C7","Low-proliferating","Mouse_1","L",1095,864,943,3831
"1_C8","Low-proliferating","Mouse_2","L",3366,236,318,1220
"1_D10","Low-proliferating","Mouse_3","R",1258,161,692,2232
"1_D3","Low-proliferating","Mouse_1","R",2332,285,668,1249
"1_D6","Low-proliferating","Mouse_1","R",2123,341,401,1487
"1_E10","Low-proliferating","Mouse_3","R",15856,15206,377,869
"1_E8","Low-proliferating","Mouse_2","L",1451,129,126,624
"1_F1","Low-proliferating","Mouse_2","L",2433,7317,559,2452
"1_F8","Low-proliferating","Mouse_2","L",1256,97.7,250,933
"1_H2","Low-proliferating","Mouse_1","L",791,78.4,600,2447
"2_A10","Low-proliferating","Mouse_3","L",3641,1095,262,674
"2_A11","Low-proliferating","Mouse_4","L",1188,5713,708,2210
"2_A2","Low-proliferating","Mouse_2","R",6792,837,220,747
"2_A3","Low-proliferating","Mouse_1","L",625,69.4,1063,4389
"2_A5","Low-proliferating","Mouse_3","R",2048,468,258,748
"2_B12","Low-proliferating","Mouse_5","L",2076,3693,144,351
"2_B3","Low-proliferating","Mouse_1","L",1856,213,1261,4831
"2_B6","Low-proliferating","Mouse_1","R",1579,246,1018,5169
"2_C5","Low-proliferating","Mouse_4","L",1445,4672,148,1080
"2_C6","Low-proliferating","Mouse_1","R",998,458,2588,10271
"2_C7","Low-proliferating","Mouse_1","L",2821,255,914,3746
"2_D10","Low-proliferating","Mouse_3","R",2771,6881,506,1254
"2_D12","Low-proliferating","Mouse_5","L",2849,11403,325,603
"2_D2","Low-proliferating","Mouse_4","R",3386,4380,496,1206
"2_D6","Low-proliferating","Mouse_1","R",1683,642,332,1381
"2_D8","Low-proliferating","Mouse_2","L",564,11197,123,488
"2_E3","Low-proliferating","Mouse_2","L",252,3878,387,1526
"2_E8","Low-proliferating","Mouse_2","L",886,733,516,2609
"2_F3","Low-proliferating","Mouse_2","L",1839,844,416,1935
"2_G2","Low-proliferating","Mouse_1","L",767,394,707,2998
"2_G3","Low-proliferating","Mouse_2","L",5912,127,352,1570
"2_G4","Low-proliferating","Mouse_3","L",2198,4924,407,788
"2_G5","Low-proliferating","Mouse_4","R",2227,3170,371,665
"2_G6","Low-proliferating","Mouse_1","R",3441,378,677,2593
"2_G7","Low-proliferating","Mouse_1","R",12553,473,576,857
"2_G8","Low-proliferating","Mouse_2","R",7430,1209,384,1712
"2_H2","Low-proliferating","Mouse_1","L",2670,195,392,1363
"2_H3","Low-proliferating","Mouse_2","L",7064,1712,219,831
"2_H7","Low-proliferating","Mouse_1","R",13023,1114,1715,3352
"2_H8","Low-proliferating","Mouse_2","R",1366,380,244,676
"2_H9","Low-proliferating","Mouse_3","L",1699,-11.6,391,745
"3_A12","Low-proliferating","Mouse_5","L",1649,3716,310,516
"3_A2","Low-proliferating","Mouse_5","L",7731,606,409,914
"3_A4","Low-proliferating","Mouse_3","R",1972,1366,329,1046
"3_A8","Low-proliferating","Mouse_1","R",3878,4903,625,1057
"3_A9","Low-proliferating","Mouse_2","R",1828,555,234,690
"3_B11","Low-proliferating","Mouse_4","R",3934,3004,305,901
"3_B4","Low-proliferating","Mouse_3","R",17045,1213,461,1018
"3_C12","Low-proliferating","Mouse_5","L",5750,529,892,1895
"3_C2","Low-proliferating","Mouse_1","L",1705,173,1242,5291
"3_C3","Low-proliferating","Mouse_2","R",10995,93.8,481,1394
"3_C4","Low-proliferating","Mouse_3","R",3934,1145,144,549
"3_C5","Low-proliferating","Mouse_4","L",8373,8299,465,1127
"3_D12","Low-proliferating","Mouse_5","L",14926,5393,463,828
"3_D2","Low-proliferating","Mouse_1","L",1983,1082,1290,4751
"3_D5","Low-proliferating","Mouse_4","L",10110,784,299,828
"3_D8","Low-proliferating","Mouse_1","R",22132,161,325,381
"3_E2","Low-proliferating","Mouse_1","L",3022,168,516,2156
"3_E9","Low-proliferating","Mouse_3","L",3656,423,190,457
"3_F10","Low-proliferating","Mouse_4","L",4882,685,529,1594
"3_F2","Low-proliferating","Mouse_1","L",2099,305,747,3273
"3_F5","Low-proliferating","Mouse_4","R",2249,1913,234,463
"3_F9","Low-proliferating","Mouse_3","L",9095,905,1036,2644
"3_G1","Low-proliferating","Mouse_4","R",2080,17327,139,443
